Year,Quarter,GDP,CPI,ExchangeRate
2003,Q1,0.5,77.7,1.4937
2003,Q2,0.8,78.1,1.4256
2003,Q3,0.9,78.3,1.4300
2003,Q4,0.7,78.6,1.4334
2004,Q1,0.4,78.6,1.4708
2004,Q2,0.2,79.1,1.4992
2004,Q3,0.0,79.1,1.4877
2004,Q4,0.1,79.7,1.4388
2005,Q1,0.6,79.8,1.4424
2005,Q2,1.1,80.6,1.4744
2005,Q3,1.0,81.0,1.4635
2005,Q4,1.3,81.3,1.4706
2006,Q1,0.2,81.3,1.4570
2006,Q2,0.1,82.3,1.4540
2006,Q3,-0.1,82.9,1.4713
2006,Q4,0.3,83.5,1.4854
2007,Q1,0.7,83.5,1.4916
2007,Q2,0.4,84.3,1.4732
2007,Q3,0.6,84.2,1.4705
2007,Q4,0.3,85.0,1.4129
2008,Q1,0.3,85.3,1.3212
2008,Q2,-0.8,86.9,1.2615
2008,Q3,-1.7,88.0,1.2586
2008,Q4,-2.2,88.5,1.1957
2009,Q1,-1.9,88.8,1.1010
2009,Q2,-0.4,89.7,1.1389
2009,Q3,-0.1,90.2,1.1475
2009,Q4,0.1,90.8,1.1058
2010,Q1,0.4,90.2,1.1269
2010,Q2,0.8,91.2,1.1747
2010,Q3,0.5,91.4,1.1995
2010,Q4,-0.1,92.3,1.1639
2011,Q1,0.4,92.4,1.1710
2011,Q2,-0.1,93.7,1.1329
2011,Q3,0.1,94.2,1.1402
2011,Q4,0.0,95.1,1.1660
2012,Q1,0.5,95.5,1.1985
2012,Q2,-0.2,96.0,1.2344
2012,Q3,1.1,96.3,1.2633
2012,Q4,-0.3,97.5,1.2384
2013,Q1,0.5,97.9,1.1751
2013,Q2,0.4,98.5,1.1756
2013,Q3,0.7,98.8,1.1708
2013,Q4,0.3,99.4,1.1890
2014,Q1,0.5,99.5,1.2079
2014,Q2,0.5,100.1,1.2278
2014,Q3,0.4,100.1,1.2599
2014,Q4,0.4,100.2,1.2671
2015,Q1,0.3,99.5,1.3463
2015,Q2,0.5,100.1,1.3863
2015,Q3,0.2,100.1,1.3937
2015,Q4,0.5,100.3,1.3862
2016,Q1,0.0,99.8,1.2981
2016,Q2,0.3,100.3,1.2702
2016,Q3,0.3,100.8,1.1763
2016,Q4,0.5,101.4,1.1515
2017,Q1,0.4,101.9,1.1627
2017,Q2,0.1,102.9,1.1621
2017,Q3,0.2,103.4,1.1144
2017,Q4,0.2,104.3,1.1269
2018,Q1,-0.1,104.4,1.1324
2018,Q2,0.4,105.3,1.1417
2018,Q3,0.4,105.9,1.1207
2018,Q4,0.1,106.5,1.1275
2019,Q1,0.5,106.2,1.1472
2019,Q2,-0.3,107.3,1.1436
2019,Q3,0.4,107.7,1.1089
2019,Q4,-0.1,107.9,1.1624

